local,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Aveiro,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Beja,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Braga,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Bragança,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Castelo Branco,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Coimbra,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Évora,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Faro,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Guarda,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Leiria,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Lisboa,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Penhas Douradas,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Portalegre,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Portimão,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Porto,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Santarém,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Setúbal,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Sines,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Viana do Castelo,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Vila Real,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
Viseu,NA,NA,NA,NA,NA,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde,verde
