distrito,label,00h00,01h00,02h00,03h00,04h00,05h00,06h00,07h00,08h00,09h00,10h00,11h00,12h00,13h00,14h00,15h00,16h00,17h00,18h00,19h00,20h00,21h00,22h00,23h00
Distrito,"<span style=\"display:block; text-align:center; font-family:monospace; font-size:13px;\"><span style=\"float:left; font-weight:bold;\">00h</span><span style=\"float:right; font-weight:bold; margin-right:-1.1em;\">23h</span><span style=\"display:inline-block; width:calc(100% - 3.4em); border-top:1.5px solid grey; margin-top:-4em;\"></span></span>",,,,,,,,,,,,,,,,,,,,,,,,
Aveiro,,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Beja,,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Braga,,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Bragança,,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Castelo Branco,,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Coimbra,,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Évora,,Verde@@1,Verde@@1,Verde@@1,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Faro,,Amarelo@@2,Amarelo@@2,Amarelo@@2,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Guarda,,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Leiria,,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Lisboa,,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Portalegre,,Verde@@1,Verde@@1,Verde@@1,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Porto,,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Santarém,,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Setúbal,,Amarelo@@2,Amarelo@@2,Amarelo@@2,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Viana do Castelo,,Laranja@@3,Laranja@@3,Laranja@@3,Laranja@@3,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Vila Real,,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
Viseu,,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Amarelo@@2,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1,Verde@@1
