local,hora,nivel,cor,aviso,tooltip
Aveiro,00:00,NA,#C8C7BB,⚪ Sem informação,Aveiro às 00:00: ⚪ Sem informação
Aveiro,01:00,NA,#C8C7BB,⚪ Sem informação,Aveiro às 01:00: ⚪ Sem informação
Aveiro,02:00,NA,#C8C7BB,⚪ Sem informação,Aveiro às 02:00: ⚪ Sem informação
Aveiro,03:00,NA,#C8C7BB,⚪ Sem informação,Aveiro às 03:00: ⚪ Sem informação
Aveiro,04:00,NA,#C8C7BB,⚪ Sem informação,Aveiro às 04:00: ⚪ Sem informação
Aveiro,05:00,NA,#C8C7BB,⚪ Sem informação,Aveiro às 05:00: ⚪ Sem informação
Aveiro,06:00,1,#B9D153,🟢 Verde,Aveiro às 06:00: 🟢 Verde
Aveiro,07:00,1,#B9D153,🟢 Verde,Aveiro às 07:00: 🟢 Verde
Aveiro,08:00,1,#B9D153,🟢 Verde,Aveiro às 08:00: 🟢 Verde
Aveiro,09:00,2,#FADF4B,🟡 Amarelo,Aveiro às 09:00: 🟡 Amarelo
Aveiro,10:00,2,#FADF4B,🟡 Amarelo,Aveiro às 10:00: 🟡 Amarelo
Aveiro,11:00,2,#FADF4B,🟡 Amarelo,Aveiro às 11:00: 🟡 Amarelo
Aveiro,12:00,2,#FADF4B,🟡 Amarelo,Aveiro às 12:00: 🟡 Amarelo
Aveiro,13:00,2,#FADF4B,🟡 Amarelo,Aveiro às 13:00: 🟡 Amarelo
Aveiro,14:00,2,#FADF4B,🟡 Amarelo,Aveiro às 14:00: 🟡 Amarelo
Aveiro,15:00,2,#FADF4B,🟡 Amarelo,Aveiro às 15:00: 🟡 Amarelo
Aveiro,16:00,2,#FADF4B,🟡 Amarelo,Aveiro às 16:00: 🟡 Amarelo
Aveiro,17:00,2,#FADF4B,🟡 Amarelo,Aveiro às 17:00: 🟡 Amarelo
Aveiro,18:00,2,#FADF4B,🟡 Amarelo,Aveiro às 18:00: 🟡 Amarelo
Aveiro,19:00,2,#FADF4B,🟡 Amarelo,Aveiro às 19:00: 🟡 Amarelo
Aveiro,20:00,2,#FADF4B,🟡 Amarelo,Aveiro às 20:00: 🟡 Amarelo
Aveiro,21:00,2,#FADF4B,🟡 Amarelo,Aveiro às 21:00: 🟡 Amarelo
Aveiro,22:00,2,#FADF4B,🟡 Amarelo,Aveiro às 22:00: 🟡 Amarelo
Aveiro,23:00,2,#FADF4B,🟡 Amarelo,Aveiro às 23:00: 🟡 Amarelo
Beja,00:00,NA,#C8C7BB,⚪ Sem informação,Beja às 00:00: ⚪ Sem informação
Beja,01:00,NA,#C8C7BB,⚪ Sem informação,Beja às 01:00: ⚪ Sem informação
Beja,02:00,NA,#C8C7BB,⚪ Sem informação,Beja às 02:00: ⚪ Sem informação
Beja,03:00,NA,#C8C7BB,⚪ Sem informação,Beja às 03:00: ⚪ Sem informação
Beja,04:00,NA,#C8C7BB,⚪ Sem informação,Beja às 04:00: ⚪ Sem informação
Beja,05:00,NA,#C8C7BB,⚪ Sem informação,Beja às 05:00: ⚪ Sem informação
Beja,06:00,1,#B9D153,🟢 Verde,Beja às 06:00: 🟢 Verde
Beja,07:00,1,#B9D153,🟢 Verde,Beja às 07:00: 🟢 Verde
Beja,08:00,1,#B9D153,🟢 Verde,Beja às 08:00: 🟢 Verde
Beja,09:00,2,#FADF4B,🟡 Amarelo,Beja às 09:00: 🟡 Amarelo
Beja,10:00,2,#FADF4B,🟡 Amarelo,Beja às 10:00: 🟡 Amarelo
Beja,11:00,2,#FADF4B,🟡 Amarelo,Beja às 11:00: 🟡 Amarelo
Beja,12:00,2,#FADF4B,🟡 Amarelo,Beja às 12:00: 🟡 Amarelo
Beja,13:00,2,#FADF4B,🟡 Amarelo,Beja às 13:00: 🟡 Amarelo
Beja,14:00,2,#FADF4B,🟡 Amarelo,Beja às 14:00: 🟡 Amarelo
Beja,15:00,2,#FADF4B,🟡 Amarelo,Beja às 15:00: 🟡 Amarelo
Beja,16:00,2,#FADF4B,🟡 Amarelo,Beja às 16:00: 🟡 Amarelo
Beja,17:00,2,#FADF4B,🟡 Amarelo,Beja às 17:00: 🟡 Amarelo
Beja,18:00,2,#FADF4B,🟡 Amarelo,Beja às 18:00: 🟡 Amarelo
Beja,19:00,2,#FADF4B,🟡 Amarelo,Beja às 19:00: 🟡 Amarelo
Beja,20:00,2,#FADF4B,🟡 Amarelo,Beja às 20:00: 🟡 Amarelo
Beja,21:00,2,#FADF4B,🟡 Amarelo,Beja às 21:00: 🟡 Amarelo
Beja,22:00,2,#FADF4B,🟡 Amarelo,Beja às 22:00: 🟡 Amarelo
Beja,23:00,2,#FADF4B,🟡 Amarelo,Beja às 23:00: 🟡 Amarelo
Braga,00:00,NA,#C8C7BB,⚪ Sem informação,Braga às 00:00: ⚪ Sem informação
