x,y,cor,tooltip
1,1,#C8C7BB,Aveiro às 00:00: ⚪ Sem informação
2,1,#C8C7BB,Aveiro às 01:00: ⚪ Sem informação
3,1,#C8C7BB,Aveiro às 02:00: ⚪ Sem informação
4,1,#C8C7BB,Aveiro às 03:00: ⚪ Sem informação
5,1,#C8C7BB,Aveiro às 04:00: ⚪ Sem informação
6,1,#C8C7BB,Aveiro às 05:00: ⚪ Sem informação
7,1,#B9D153,Aveiro às 06:00: 🟢 Verde
8,1,#B9D153,Aveiro às 07:00: 🟢 Verde
9,1,#B9D153,Aveiro às 08:00: 🟢 Verde
10,1,#B9D153,Aveiro às 09:00: 🟢 Verde
11,1,#B9D153,Aveiro às 10:00: 🟢 Verde
12,1,#B9D153,Aveiro às 11:00: 🟢 Verde
13,1,#B9D153,Aveiro às 12:00: 🟢 Verde
14,1,#B9D153,Aveiro às 13:00: 🟢 Verde
15,1,#B9D153,Aveiro às 14:00: 🟢 Verde
16,1,#B9D153,Aveiro às 15:00: 🟢 Verde
17,1,#B9D153,Aveiro às 16:00: 🟢 Verde
18,1,#B9D153,Aveiro às 17:00: 🟢 Verde
19,1,#B9D153,Aveiro às 18:00: 🟢 Verde
20,1,#B9D153,Aveiro às 19:00: 🟢 Verde
21,1,#B9D153,Aveiro às 20:00: 🟢 Verde
22,1,#B9D153,Aveiro às 21:00: 🟢 Verde
23,1,#B9D153,Aveiro às 22:00: 🟢 Verde
24,1,#B9D153,Aveiro às 23:00: 🟢 Verde
1,2,#C8C7BB,Beja às 00:00: ⚪ Sem informação
2,2,#C8C7BB,Beja às 01:00: ⚪ Sem informação
3,2,#C8C7BB,Beja às 02:00: ⚪ Sem informação
4,2,#C8C7BB,Beja às 03:00: ⚪ Sem informação
5,2,#C8C7BB,Beja às 04:00: ⚪ Sem informação
6,2,#C8C7BB,Beja às 05:00: ⚪ Sem informação
7,2,#B9D153,Beja às 06:00: 🟢 Verde
8,2,#B9D153,Beja às 07:00: 🟢 Verde
9,2,#B9D153,Beja às 08:00: 🟢 Verde
10,2,#B9D153,Beja às 09:00: 🟢 Verde
11,2,#B9D153,Beja às 10:00: 🟢 Verde
12,2,#B9D153,Beja às 11:00: 🟢 Verde
13,2,#B9D153,Beja às 12:00: 🟢 Verde
14,2,#B9D153,Beja às 13:00: 🟢 Verde
15,2,#B9D153,Beja às 14:00: 🟢 Verde
16,2,#B9D153,Beja às 15:00: 🟢 Verde
17,2,#B9D153,Beja às 16:00: 🟢 Verde
18,2,#B9D153,Beja às 17:00: 🟢 Verde
19,2,#B9D153,Beja às 18:00: 🟢 Verde
20,2,#B9D153,Beja às 19:00: 🟢 Verde
21,2,#B9D153,Beja às 20:00: 🟢 Verde
22,2,#B9D153,Beja às 21:00: 🟢 Verde
23,2,#B9D153,Beja às 22:00: 🟢 Verde
24,2,#B9D153,Beja às 23:00: 🟢 Verde
1,3,#C8C7BB,Braga às 00:00: ⚪ Sem informação
2,3,#C8C7BB,Braga às 01:00: ⚪ Sem informação
3,3,#C8C7BB,Braga às 02:00: ⚪ Sem informação
4,3,#C8C7BB,Braga às 03:00: ⚪ Sem informação
5,3,#C8C7BB,Braga às 04:00: ⚪ Sem informação
6,3,#C8C7BB,Braga às 05:00: ⚪ Sem informação
7,3,#B9D153,Braga às 06:00: 🟢 Verde
8,3,#B9D153,Braga às 07:00: 🟢 Verde
9,3,#B9D153,Braga às 08:00: 🟢 Verde
10,3,#B9D153,Braga às 09:00: 🟢 Verde
11,3,#B9D153,Braga às 10:00: 🟢 Verde
12,3,#B9D153,Braga às 11:00: 🟢 Verde
13,3,#B9D153,Braga às 12:00: 🟢 Verde
14,3,#B9D153,Braga às 13:00: 🟢 Verde
15,3,#B9D153,Braga às 14:00: 🟢 Verde
16,3,#B9D153,Braga às 15:00: 🟢 Verde
17,3,#B9D153,Braga às 16:00: 🟢 Verde
18,3,#B9D153,Braga às 17:00: 🟢 Verde
19,3,#B9D153,Braga às 18:00: 🟢 Verde
20,3,#B9D153,Braga às 19:00: 🟢 Verde
21,3,#B9D153,Braga às 20:00: 🟢 Verde
22,3,#B9D153,Braga às 21:00: 🟢 Verde
23,3,#B9D153,Braga às 22:00: 🟢 Verde
24,3,#B9D153,Braga às 23:00: 🟢 Verde
