x,hora_txt,y,distrito,nivel,nivel_txt,cor,tooltip
1,00h00,1,Aveiro,NA,Sem informação,#C8C7BB,Aveiro às 00h00: Sem informação
2,01h00,1,Aveiro,NA,Sem informação,#C8C7BB,Aveiro às 01h00: Sem informação
3,02h00,1,Aveiro,NA,Sem informação,#C8C7BB,Aveiro às 02h00: Sem informação
4,03h00,1,Aveiro,NA,Sem informação,#C8C7BB,Aveiro às 03h00: Sem informação
5,04h00,1,Aveiro,NA,Sem informação,#C8C7BB,Aveiro às 04h00: Sem informação
6,05h00,1,Aveiro,NA,Sem informação,#C8C7BB,Aveiro às 05h00: Sem informação
7,06h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 06h00: Amarelo
8,07h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 07h00: Amarelo
9,08h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 08h00: Amarelo
10,09h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 09h00: Amarelo
11,10h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 10h00: Amarelo
12,11h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 11h00: Amarelo
13,12h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 12h00: Amarelo
14,13h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 13h00: Amarelo
15,14h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 14h00: Amarelo
16,15h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 15h00: Amarelo
17,16h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 16h00: Amarelo
18,17h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 17h00: Amarelo
19,18h00,1,Aveiro,2,Amarelo,#FADF4B,Aveiro às 18h00: Amarelo
20,19h00,1,Aveiro,1,Verde,#B9D153,Aveiro às 19h00: Verde
21,20h00,1,Aveiro,1,Verde,#B9D153,Aveiro às 20h00: Verde
22,21h00,1,Aveiro,1,Verde,#B9D153,Aveiro às 21h00: Verde
23,22h00,1,Aveiro,1,Verde,#B9D153,Aveiro às 22h00: Verde
24,23h00,1,Aveiro,1,Verde,#B9D153,Aveiro às 23h00: Verde
1,00h00,2,Beja,NA,Sem informação,#C8C7BB,Beja às 00h00: Sem informação
2,01h00,2,Beja,NA,Sem informação,#C8C7BB,Beja às 01h00: Sem informação
3,02h00,2,Beja,NA,Sem informação,#C8C7BB,Beja às 02h00: Sem informação
4,03h00,2,Beja,NA,Sem informação,#C8C7BB,Beja às 03h00: Sem informação
5,04h00,2,Beja,NA,Sem informação,#C8C7BB,Beja às 04h00: Sem informação
6,05h00,2,Beja,NA,Sem informação,#C8C7BB,Beja às 05h00: Sem informação
7,06h00,2,Beja,2,Amarelo,#FADF4B,Beja às 06h00: Amarelo
8,07h00,2,Beja,2,Amarelo,#FADF4B,Beja às 07h00: Amarelo
9,08h00,2,Beja,2,Amarelo,#FADF4B,Beja às 08h00: Amarelo
10,09h00,2,Beja,2,Amarelo,#FADF4B,Beja às 09h00: Amarelo
11,10h00,2,Beja,2,Amarelo,#FADF4B,Beja às 10h00: Amarelo
12,11h00,2,Beja,2,Amarelo,#FADF4B,Beja às 11h00: Amarelo
13,12h00,2,Beja,2,Amarelo,#FADF4B,Beja às 12h00: Amarelo
14,13h00,2,Beja,2,Amarelo,#FADF4B,Beja às 13h00: Amarelo
15,14h00,2,Beja,2,Amarelo,#FADF4B,Beja às 14h00: Amarelo
16,15h00,2,Beja,2,Amarelo,#FADF4B,Beja às 15h00: Amarelo
17,16h00,2,Beja,2,Amarelo,#FADF4B,Beja às 16h00: Amarelo
18,17h00,2,Beja,2,Amarelo,#FADF4B,Beja às 17h00: Amarelo
19,18h00,2,Beja,2,Amarelo,#FADF4B,Beja às 18h00: Amarelo
20,19h00,2,Beja,2,Amarelo,#FADF4B,Beja às 19h00: Amarelo
21,20h00,2,Beja,2,Amarelo,#FADF4B,Beja às 20h00: Amarelo
22,21h00,2,Beja,2,Amarelo,#FADF4B,Beja às 21h00: Amarelo
23,22h00,2,Beja,2,Amarelo,#FADF4B,Beja às 22h00: Amarelo
24,23h00,2,Beja,2,Amarelo,#FADF4B,Beja às 23h00: Amarelo
1,00h00,3,Braga,NA,Sem informação,#C8C7BB,Braga às 00h00: Sem informação
